time,open,high,low,close,Plot,Plot,ROC Line
996184800,1620,1628.5,1614.25,1624.25,-3.5500000000067757,-7.351562500006807,18.5
996444000,1624.25,1628.75,1617.25,1624,2.6083333333265273,-6.770312500006796,4.5
996530400,1624.5,1642,1623.25,1629.5,6.466666666660103,-5.234895833340104,5.25
996616800,1628.25,1641.75,1625,1635.75,9.349999999993315,-3.0057291666734187,11.75
996703200,1634.5,1648.5,1633.25,1640.25,14.466666666660103,-0.5067708333400702,10.75
996789600,1640.5,1642,1623.25,1634,15.466666666660103,1.743749999993284,-1.75
997048800,1634,1635.25,1615,1617.25,8.199999999992997,2.7239583333265927,-23
997135200,1618,1626.5,1612.5,1622,-0.8083333333402152,2.444791666659924,-12
997221600,1624.25,1625.75,1598,1599.75,-11.625000000006821,1.1999999999932385,-17.5
997308000,1600,1603.5,1592,1602,-14.958333333340079,-0.19010416667342156,-20
997394400,1602.25,1611.75,1586.25,1605.5,-18.58333333334008,-2.06250000000675,5.75
997653600,1607.25,1612,1601,1606.75,-14.525000000006912,-3.4286458333400844,4.75
997740000,1607.25,1617,1601.5,1606.5,-10.725000000006958,-4.195312500006764,1
997826400,1606.75,1609.5,1593.75,1595.25,-10.091666666673746,-4.045312500006787,-11.5
997912800,1595.5,1600.25,1582.5,1599,-8.550000000007003,-3.2755208333401384,-7.5
997999200,1599.25,1599.25,1572.5,1580.25,-11.925000000007003,-3.0489583333401526,-15
998258400,1579,1591.25,1575.25,1590,-10.950000000007094,-3.5114583333401725,-9
998344800,1590.5,1597.75,1570,1571,-15.183333333340443,-4.623437500006858,-9.25
998431200,1570.5,1586.25,1569.5,1582,-12.825000000007094,-5.829166666673558,-8
998517600,1583.25,1587,1576.5,1577.25,-14.600000000007185,-7.326041666673589,6.25
998604000,1579,1603.25,1579,1601.75,-3.975000000007185,-8.478645833340295,19.75
998863200,1602,1606.25,1593.75,1594.5,1.4166666666596939,-9.35677083334032,17.25
998949600,1594.75,1596.75,1577,1577.5,4.399999999993042,-9.594270833340317,-24.25
999036000,1577.25,1583,1562.5,1566.25,-4.533333333340124,-9.827083333340312,-28.25
999122400,1566.5,1570.5,1539.75,1543.75,-15.925000000007003,-10.095833333340323,-33.75
999208800,1544,1558.5,1541.25,1552.75,-21.425000000006776,-10.500000000006992,-13.5
999554400,1551.75,1572.75,1542.5,1545.25,-23.950000000006867,-10.835416666673666,1.5
999640800,1545.25,1552.75,1529.25,1547.25,-20.408333333339897,-11.203125000006978,-5.5
999727200,1547.75,1551.25,1517.25,1517.75,-25.650000000006685,-12.13593750000696,-27.5
999813600,1521,1523.25,1496,1497.5,-33.59166666667352,-13.604687500006946,-49.75
1000072800,1498.25,1513.25,1481.75,1510,-36.83333333334008,-15.372395833340263,-7.75
1000159200,1510.5,1517.25,1482.25,1510,-30.966666666673518,-16.56250000000692,12.5
1000677600,1450,1472.5,1432.75,1453.25,-33.291666666673336,-17.95885416667356,-56.75
1000764000,1453.75,1462,1443,1449.75,-41.7250000000065,-19.61770833334019,-60.25
1000850400,1449.75,1460,1394.25,1428.25,-57.425000000006776,-22.40520833334017,-25
1000936800,1427.75,1432.75,1388.25,1395,-61.0666666666732,-25.309375000006796,-54.75
1001023200,1393.25,1402.25,1349.25,1384.25,-66.80000000000678,-29.23593750000677,-44
1001282400,1387,1423,1384,1418.5,-57.175000000006776,-32.897916666673424,23.5
1001368800,1418.75,1431.75,1407.75,1429,-36.96666666667352,-35.483333333340084,44.75
1001455200,1428.75,1436,1415.25,1425.25,-16.07500000000664,-36.20468750000674,6.75
1001541600,1424.75,1434.5,1411,1433.25,-3.4833333333401697,-35.427083333340065,4.25
1001628000,1433.5,1456,1432.5,1454.5,10.566666666659785,-33.427604166673405,29.25
1001887200,1455,1455,1439.5,1454,20.074999999992997,-30.676041666673413,20.75
1001973600,1452.75,1466.75,1445,1466.25,29.42499999999336,-27.561458333340084,11.75
1002060000,1465,1489.5,1452,1485.25,33.97499999999309,-23.8348958333401,31.25
1002146400,1483.25,1498.25,1479.25,1486.25,35.599999999993315,-19.51041666667342,20
1002232800,1484.5,1492.5,1466,1482.5,31.191666666660012,-15.258854166673416,-2.75
1002492000,1477.75,1483.5,1466.5,1476,22.358333333326527,-11.926041666673413,-10.25
1002578400,1475,1482.25,1466.5,1470.75,13.01666666665983,-9.03177083334009,-11.75
1002664800,1470.75,1496,1465.5,1494,9.974999999993315,-5.8005208333401015,18
1002751200,1494.5,1513.5,1490.25,1510.5,13.749999999993179,-1.3520833333401043,39.75
1002837600,1513,1516.75,1483.75,1504.75,20.058333333326345,3.7182291666598672,10.75
1003096800,1503.5,1504.5,1491,1503.25,18.216666666659876,9.031770833326533,-7.25
