es_price,es_formation_time,es_breakout_time,es_retest_time,es_type,es_status,es_m5_retest_time,es_m5_open,es_m5_high,es_m5_low,es_m5_close,nq_price,nq_formation_time,nq_breakout_time,nq_retest_time,nq_type,nq_status,nq_m5_retest_time,nq_m5_open,nq_m5_high,nq_m5_low,nq_m5_close,time_diff_minutes
5989.25,2024-12-20 00:00:00,2024-12-20 15:00:00,2024-12-30 14:00:00,LHPB,retested,2024-12-30 14:40:00,5993.0,5996.25,5983.25,5988.75,21515.0,2024-12-20 14:00:00,2024-12-20 15:00:00,2024-12-30 14:00:00,LHPB,retested,2024-12-30 14:45:00,21539.5,21542.75,21502.5,21536.0,5.0
5983.25,2024-12-20 14:00:00,2024-12-20 15:00:00,2024-12-30 14:00:00,LHPB,retested,2024-12-30 14:40:00,5993.0,5996.25,5983.25,5988.75,21515.0,2024-12-20 14:00:00,2024-12-20 15:00:00,2024-12-30 14:00:00,LHPB,retested,2024-12-30 14:45:00,21539.5,21542.75,21502.5,21536.0,5.0
6087.75,2024-12-24 09:00:00,2024-12-27 15:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,6080.25,6087.75,6079.0,6083.5,21944.25,2024-12-24 06:00:00,2024-12-27 14:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75,0.0
6087.75,2024-12-24 09:00:00,2024-12-27 15:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,6080.25,6087.75,6079.0,6083.5,21944.75,2024-12-24 08:00:00,2024-12-27 14:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75,0.0
6087.75,2024-12-24 09:00:00,2024-12-27 15:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,6080.25,6087.75,6079.0,6083.5,21922.5,2024-12-27 19:00:00,2024-12-27 21:00:00,2024-12-29 23:00:00,LHPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75,0.0
6087.75,2024-12-24 09:00:00,2024-12-27 15:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,6080.25,6087.75,6079.0,6083.5,21918.0,2024-12-27 20:00:00,2024-12-27 21:00:00,2024-12-29 23:00:00,LHPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75,0.0
6089.0,2024-12-24 11:00:00,2024-12-27 15:00:00,2025-01-06 12:00:00,LLPB,retested,2025-01-06 12:45:00,6086.75,6092.0,6086.5,6091.0,21962.0,2024-12-24 09:00:00,2024-12-27 14:00:00,2025-01-06 12:00:00,LLPB,retested,2025-01-06 12:45:00,21936.75,21966.5,21936.25,21959.5,0.0
6090.75,2024-12-24 12:00:00,2024-12-27 15:00:00,2025-01-06 12:00:00,LLPB,retested,2025-01-06 12:45:00,6086.75,6092.0,6086.5,6091.0,21962.0,2024-12-24 09:00:00,2024-12-27 14:00:00,2025-01-06 12:00:00,LLPB,retested,2025-01-06 12:45:00,21936.75,21966.5,21936.25,21959.5,0.0
6051.75,2024-12-27 17:00:00,2024-12-27 18:00:00,2024-12-30 12:00:00,LHPB,retested,2024-12-30 12:30:00,6056.75,6058.25,6050.0,6051.5,21785.5,2024-12-27 17:00:00,2024-12-27 18:00:00,2024-12-30 12:00:00,LHPB,retested,2024-12-30 12:35:00,21794.5,21800.5,21750.75,21757.0,5.0
6029.25,2024-12-23 16:00:00,2024-12-30 12:00:00,2024-12-30 17:00:00,LLPB,retested,2024-12-30 17:20:00,6026.25,6032.0,6025.25,6030.5,21704.75,2024-12-27 17:00:00,2024-12-30 12:00:00,2024-12-30 17:00:00,LLPB,retested,2024-12-30 17:20:00,21691.75,21718.0,21688.5,21714.75,0.0
