Time_PT,Open,High,Low,Close,Volume,Trades,BidVolume,AskVolume,Delta
2026-08-13 08:54:33-07:00,7801.75,7801.75,7801.25,7801.5,84,66,52,32,-20
2026-08-13 08:54:34-07:00,7801.5,7801.75,7801.5,7801.5,1,1,1,0,-1
2026-08-13 08:54:35-07:00,7801.5,7802.0,7801.5,7801.75,36,27,19,17,-2
2026-08-13 08:54:36-07:00,7801.75,7802.25,7801.75,7802.0,25,24,13,12,-1
2026-08-13 08:54:37-07:00,7802.0,7802.0,7801.75,7802.0,5,5,0,5,5
2026-08-13 08:54:38-07:00,7802.0,7802.0,7801.75,7801.5,12,12,12,0,-12
2026-08-13 08:54:39-07:00,7801.5,7801.75,7801.25,7801.5,16,16,10,6,-4
2026-08-13 08:54:40-07:00,7801.5,7801.5,7801.25,7801.5,2,2,0,2,2
2026-08-13 08:54:41-07:00,7801.5,7801.5,7801.0,7801.25,22,16,15,7,-8
2026-08-13 08:54:42-07:00,7801.25,7801.25,7801.25,7801.25,0,0,0,0,0
2026-08-13 08:54:43-07:00,7801.25,7801.5,7801.0,7801.25,17,16,7,10,3
2026-08-13 08:54:44-07:00,7801.25,7801.5,7801.0,7801.25,22,20,6,16,10
2026-08-13 08:54:45-07:00,7801.25,7801.25,7801.0,7801.0,2,2,2,0,-2
2026-08-13 08:54:46-07:00,7801.0,7801.25,7800.5,7801.0,132,90,117,15,-102
2026-08-13 08:54:47-07:00,7801.0,7801.0,7800.5,7800.75,55,42,29,26,-3
2026-08-13 08:54:48-07:00,7800.75,7800.75,7800.5,7800.75,6,6,0,6,6
2026-08-13 08:54:49-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:54:50-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:54:51-07:00,7800.75,7800.75,7800.25,7800.25,44,39,38,6,-32
2026-08-13 08:54:52-07:00,7800.25,7800.75,7800.25,7800.5,49,40,15,34,19
2026-08-13 08:54:53-07:00,7800.5,7800.75,7800.25,7800.5,36,32,9,27,18
2026-08-13 08:54:54-07:00,7800.5,7800.75,7800.25,7800.5,23,16,17,6,-11
2026-08-13 08:54:55-07:00,7800.5,7800.5,7800.25,7800.25,7,7,6,1,-5
2026-08-13 08:54:56-07:00,7800.25,7800.5,7800.25,7800.5,2,2,1,1,0
2026-08-13 08:54:57-07:00,7800.5,7800.5,7800.25,7800.25,8,8,6,2,-4
2026-08-13 08:54:58-07:00,7800.25,7800.75,7800.25,7800.5,9,9,2,7,5
2026-08-13 08:54:59-07:00,7800.5,7801.0,7800.5,7800.75,43,27,12,31,19
2026-08-13 08:55:00-07:00,7800.75,7801.0,7800.25,7800.5,44,37,23,21,-2
2026-08-13 08:55:01-07:00,7800.5,7800.75,7800.25,7800.5,24,13,6,18,12
2026-08-13 08:55:02-07:00,7800.5,7800.75,7800.5,7800.5,3,3,2,1,-1
2026-08-13 08:55:03-07:00,7800.5,7800.75,7800.25,7800.5,19,16,11,8,-3
2026-08-13 08:55:04-07:00,7800.5,7800.75,7800.25,7800.5,33,29,13,20,7
2026-08-13 08:55:05-07:00,7800.5,7800.75,7800.0,7800.25,46,41,35,11,-24
2026-08-13 08:55:06-07:00,7800.25,7800.5,7800.0,7800.25,2,2,1,1,0
2026-08-13 08:55:07-07:00,7800.25,7800.75,7800.0,7800.25,44,41,23,21,-2
2026-08-13 08:55:08-07:00,7800.25,7800.5,7800.0,7800.25,6,6,4,2,-2
2026-08-13 08:55:09-07:00,7800.25,7800.5,7800.0,7800.0,47,37,36,11,-25
2026-08-13 08:55:10-07:00,7800.0,7800.5,7800.0,7800.25,27,20,10,17,7
2026-08-13 08:55:11-07:00,7800.25,7800.5,7800.0,7800.25,21,15,10,11,1
2026-08-13 08:55:12-07:00,7800.25,7800.5,7800.0,7800.25,14,13,8,6,-2
2026-08-13 08:55:13-07:00,7800.25,7800.75,7800.25,7800.5,42,28,11,31,20
2026-08-13 08:55:14-07:00,7800.5,7800.75,7800.25,7800.5,19,15,14,5,-9
2026-08-13 08:55:15-07:00,7800.5,7800.75,7800.25,7800.5,20,20,10,10,0
2026-08-13 08:55:16-07:00,7800.5,7801.0,7800.5,7800.75,45,38,21,24,3
2026-08-13 08:55:17-07:00,7800.75,7801.0,7800.75,7800.75,2,2,2,0,-2
2026-08-13 08:55:18-07:00,7800.75,7800.75,7800.5,7800.5,20,16,16,4,-12
2026-08-13 08:55:19-07:00,7800.5,7800.5,7800.5,7800.5,0,0,0,0,0
2026-08-13 08:55:20-07:00,7800.5,7801.75,7800.5,7801.5,159,129,28,131,103
2026-08-13 08:55:21-07:00,7801.5,7802.5,7801.25,7801.5,581,343,142,439,297
2026-08-13 08:55:22-07:00,7801.5,7801.75,7801.25,7801.5,42,34,33,9,-24
2026-08-13 08:55:23-07:00,7801.5,7802.0,7801.5,7802.0,56,49,28,28,0
2026-08-13 08:55:24-07:00,7802.0,7802.0,7801.5,7801.75,70,54,21,49,28
